"01-10-2025", "Átomos, elementos, compostos e misturas"
"Nomeia o tipo de processo em que misturas são separadas nos seus componentes.","Processo físico"
"Indica como pode ser separada uma mistura de um sólido e um líquido.","Filtração"
"Indica como pode ser separada uma solução para obter um sólido.","Cristalização"
"Indica como pode ser separada uma mistura de dois líquidos com pontos de ebulição muito diferentes.","Destilação"
"Indica como pode ser separada uma mistura de líquidos com pontos de ebulição semelhantes.","Destilação fracionada"
"Indica como podem ser separados os diferentes componentes da tinta.","Cromatografia"
"Descreve o que acontece quando cargas iguais entram em contacto.","Repelem-se."
"01-10-2025", "Modelos atómicos"
"Descreve o que acontece quando cargas opostas entram em contacto.","Atraem-se."
"Nomeia os quatro principais modelos históricos do átomo por ordem cronológica.","Dalton, pudim de passas, nuclear e Bohr"
"Indica pelo menos duas características do modelo atómico de Dalton.","Os átomos são indivisíveis. São esféricos. Não contêm partículas carregadas. A massa está distribuída por todo o átomo."
"Qual foi a descoberta levou à passagem do modelo de Dalton para o modelo do pudim de passas?","A descoberta do eletrão."
"Indica pelo menos duas características do modelo do pudim de passas.","A carga positiva está distribuída pelo átomo. A massa está distribuída pelo átomo. Não há espaço vazio. Os eletrões negativos estão incrustados."
"Indica duas características dos átomos demonstradas pela experiência da folha de ouro.","A massa está concentrada no núcleo. O núcleo tem carga positiva."
"Indica pelo menos duas características do modelo nuclear.","Existe um núcleo positivo. A massa está concentrada no núcleo. Os eletrões orbitam o núcleo. O átomo é maioritariamente espaço vazio."
"Indica pelo menos duas características do modelo de Bohr.","Os eletrões orbitam a distâncias específicas. Existe um núcleo positivo. A massa está concentrada no núcleo. O átomo é maioritariamente espaço vazio."
"Identifica os modelos atómicos.","A – Dalton B – Bohr C – Pudim de passas D – Nuclear"
"O que descobriu Chadwick?","O neutrão"
"O que levou os cientistas a mudar de modelo atómico?","Evidência experimental"
"01-10-2025", "Estrutura atómica"
"No modelo atómico moderno, que partículas existem no núcleo?","Protões e neutrões"
"Nomeia as três partículas subatómicas.","Protões, neutrões e eletrões"
"Indica as massas relativas das três partículas subatómicas.","Protões: 1; Neutrões: 1; Eletrões: muito pequena"
"Indica as cargas relativas das três partículas subatómicas.","Protões: +1; Neutrões: 0; Eletrões: -1"
"Que informação fornece o número atómico?","Número de protões"
